neighborhood_code,exposure_month,lst
3,2021_07_07,31.43031589859257
3,2021_07_08,25.038561238066492
3,2021_07_09,
3,2021_07_10,
3,2021_07_11,
3,2021_07_12,
3,2021_07_13,
3,2021_07_14,
3,2021_07_15,
3,2021_07_16,
3,2021_07_17,
3,2021_07_18,32.31
3,2021_07_19,
3,2021_07_20,30.275602286483867
3,2021_07_21,
3,2021_07_22,
3,2021_07_23,31.336408540355976
3,2021_07_24,
3,2021_07_25,
3,2021_07_26,
3,2021_07_27,
3,2021_07_28,
3,2021_07_29,
3,2021_07_30,
3,2021_07_31,
3,2021_08_01,
3,2021_08_02,
3,2021_08_03,
3,2021_08_04,
3,2021_08_05,
3,2021_08_06,
3,2021_08_07,
3,2021_08_08,
3,2021_08_09,
3,2021_08_10,30.08755295461042
3,2021_08_11,
3,2021_08_12,34.308392954570344
3,2021_08_13,
3,2021_08_14,
3,2021_08_15,
3,2021_08_16,
